Taxa	Coverage-Of-All-Bams	"Bams(A list of bams of the taxon, seperated by the delimiter of Tab)"
TW0339	12.336	/data3/wgs/bam/ABD/TW0339.rmdup.bam
TW0340	13.094	/data3/wgs/bam/ABD/TW0340.rmdup.bam
TW0341	11.798	/data3/wgs/bam/ABD/TW0341.rmdup.bam
TW0342	11.617	/data3/wgs/bam/ABD/TW0342.rmdup.bam
TW0343	11.367	/data3/wgs/bam/ABD/TW0343.rmdup.bam
TW0344	11.215	/data3/wgs/bam/ABD/TW0344.rmdup.bam
TW0345	11.938	/data3/wgs/bam/ABD/TW0345.rmdup.bam
TW0346	11.584	/data3/wgs/bam/ABD/TW0346.rmdup.bam
TW0347	10.987	/data3/wgs/bam/ABD/TW0347.rmdup.bam
TW0348	11.353	/data3/wgs/bam/ABD/TW0348.rmdup.bam
TW0349	11.471	/data3/wgs/bam/ABD/TW0349.rmdup.bam
TW0350	12.262	/data3/wgs/bam/ABD/TW0350.rmdup.bam
TW0351	11.091	/data3/wgs/bam/ABD/TW0351.rmdup.bam
TW0352	11.214	/data3/wgs/bam/ABD/TW0352.rmdup.bam
TW0353	11.748	/data3/wgs/bam/ABD/TW0353.rmdup.bam
TW0354	11.759	/data3/wgs/bam/ABD/TW0354.rmdup.bam
TW0355	11.59	/data3/wgs/bam/ABD/TW0355.rmdup.bam
TW0356	12.345	/data3/wgs/bam/ABD/TW0356.rmdup.bam
TW0357	11.393	/data3/wgs/bam/ABD/TW0357.rmdup.bam
TW0358	11.164	/data3/wgs/bam/ABD/TW0358.rmdup.bam
TW0359	11.656	/data3/wgs/bam/ABD/TW0359.rmdup.bam
TW0360	13.198	/data3/wgs/bam/ABD/TW0360.rmdup.bam
TW0361	12.446	/data3/wgs/bam/ABD/TW0361.rmdup.bam
TW0362	12.53	/data3/wgs/bam/ABD/TW0362.rmdup.bam
TW0363	11.382	/data3/wgs/bam/ABD/TW0363.rmdup.bam
TW0364	11.066	/data3/wgs/bam/ABD/TW0364.rmdup.bam
TW0365	11.717	/data3/wgs/bam/ABD/TW0365.rmdup.bam
TW0366	11.673	/data3/wgs/bam/ABD/TW0366.rmdup.bam
TW0367	12.237	/data3/wgs/bam/ABD/TW0367.rmdup.bam
TW0368	12.227	/data3/wgs/bam/ABD/TW0368.rmdup.bam
TW0369	12.211	/data3/wgs/bam/ABD/TW0369.rmdup.bam
TW0370	11.947	/data3/wgs/bam/ABD/TW0370.rmdup.bam
TW0371	12.412	/data3/wgs/bam/ABD/TW0371.rmdup.bam
